"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"38822_at"	0.00377291982383088	2.98845134560862e-07	-6.83997389304417	6.41492614340622	-0.679127618500393	"STK17A"	"serine/threonine kinase 17a"
"40230_at"	0.00897303939590448	1.90994365548405e-06	-6.10523240054638	4.82158185704409	-1.24964718205583	"FRZB"	"frizzled-related protein"
"1638_at"	0.00897303939590448	2.3735347670926e-06	6.02056170590327	4.63320866635849	1.26808312332689	"ETV6"	"ETS variant 6"
"34583_at"	0.00897303939590448	2.84294317494003e-06	-5.95044033522477	4.47653026536011	-1.45224494243222	"FLT3"	"fms related tyrosine kinase 3"
"35286_r_at"	0.0214747507323707	8.5048517751963e-06	5.52794229729132	3.52070519885059	0.424099384520365	"SNRNP27"	"small nuclear ribonucleoprotein U4/U6.U5 subunit 27"
"36779_at"	0.0232270971161718	1.1038620411646e-05	-5.42811160754069	3.29222838206911	-0.452623568388952	"FABP6"	"fatty acid binding protein 6"
"39831_at"	0.0256532064928669	1.4223560035649e-05	-5.33127230637427	3.06977939375211	-0.601715630290495	"SRRT"	"serrate, RNA effector molecule"
"31381_at"	0.0290223114488609	2.12540793898535e-05	-5.17820045032172	2.71669775902757	-0.916631598497184	"PGLYRP1"	"peptidoglycan recognition protein 1"
"927_s_at"	0.0290223114488609	2.50963629166432e-05	5.11497867929726	2.57040811641044	1.08035849461979	"MUC1"	"mucin 1, cell surface associated"
"41678_at"	0.0290223114488609	2.80346898171227e-05	-5.07288414876752	2.47287369533485	-0.331331040971946	"EPHB2"	"EPH receptor B2"
"38896_at"	0.0290223114488609	2.84893632591099e-05	-5.06676937989974	2.45869736736791	-1.3611124946155	"TNPO2"	"transportin 2"
"41563_at"	0.0290223114488609	3.0498280645218e-05	5.04087561936746	2.39864385578862	1.4398939164916	"TRPM1"	"transient receptor potential cation channel subfamily M member 1"
"38039_at"	0.0290223114488609	3.06446191724432e-05	5.03905686505891	2.39442443824606	1.50914704652316	"CYP19A1"	"cytochrome P450 family 19 subfamily A member 1"
"34514_at"	0.0290223114488609	3.2183157250222e-05	-5.02044637194073	2.35123942965945	-1.934760943714	"TSHR"	"thyroid stimulating hormone receptor"
"34487_at"	0.0300003910033079	3.61190282785554e-05	4.97662650757103	2.24949078063121	0.647516492842595	"ATXN3"	"ataxin 3"
"41392_at"	0.0300003910033079	3.80202975091426e-05	4.95714810563297	2.20423433090224	1.16805747158805	"NOP14-AS1"	"NOP14 antisense RNA 1"
"36622_at"	0.0308082083918382	4.1484320210792e-05	4.9240472521094	2.12729055167667	1.73883395016663	"FGG"	"fibrinogen gamma chain"
"39464_at"	0.0392588455285555	5.59730074862573e-05	-4.81037890455024	1.86276402263587	-0.857313304304244	"HSPA8"	"heat shock protein family A (Hsp70) member 8"
"35424_g_at"	0.0434832806469671	6.77357640351648e-05	4.73801953428645	1.69418283958078	0.709222496456719	"GRM5"	"glutamate metabotropic receptor 5"
"1719_at"	0.0434832806469671	6.94174817589307e-05	4.72871636650584	1.67250079965144	0.500511952950533	"MSH3"	"mutS homolog 3"
"39011_at"	0.0434832806469671	7.29213794924809e-05	-4.71003613793356	1.6289602300684	-0.445521011573441	"ENSA"	"endosulfine alpha"
"34749_at"	0.0434832806469671	8.16677299187029e-05	-4.66706262771926	1.52877815062081	-0.485939609350041	"SLC31A2"	"solute carrier family 31 member 2"
"33615_at"	0.0434832806469671	8.36678310017045e-05	-4.65788299640916	1.50737559546223	-1.61035383195399	"OR1E1"	"olfactory receptor family 1 subfamily E member 1"
"32975_g_at"	0.0434832806469671	9.00095497208577e-05	4.63016225696453	1.44274027347306	0.482283887677885	"EXOSC2"	"exosome component 2"
"35403_at"	0.0434832806469671	9.34514196057888e-05	-4.61592292114304	1.40953749148684	-0.437102457663473	"DOLK"	"dolichol kinase"
"38770_at"	0.0434832806469671	9.43015061400513e-05	-4.61248665595231	1.40152483557988	-1.43643102547822	"ADAM12"	"ADAM metallopeptidase domain 12"
"34563_at"	0.0434832806469671	0.000100570618179903	-4.58806093351748	1.3445686978244	-0.884192614274908	"KIF14"	"kinesin family member 14"
"40394_at"	0.0434832806469671	0.000104122504150254	-4.57488773974431	1.31385144345085	-0.847181261809521	"GGCX"	"gamma-glutamyl carboxylase"
"40442_f_at"	0.0434832806469671	0.00010639713635041	-4.5666850004398	1.29472451603426	-0.708322987829353	"SERBP1"	"SERPINE1 mRNA binding protein 1"
"31455_r_at"	0.0434832806469671	0.000107612416895544	-4.56237387098128	1.28467203850551	-1.37362327306012	""	""
"2089_s_at"	0.0434832806469671	0.000108527681813883	-4.55915895806724	1.27717571684368	-0.575216101132436	"ERBB3"	"erb-b2 receptor tyrosine kinase 3"
"38520_r_at"	0.0434832806469671	0.000110215047976471	4.55330223788826	1.26351953466418	1.63293076821356	"SLC14A1"	"solute carrier family 14 member 1 (Kidd blood group)"
"31569_at"	0.0453280227013847	0.000119293513125293	-4.52325018384898	1.19345042038651	-0.516646149784144	"SLC1A7"	"solute carrier family 1 member 7"
"33200_at"	0.0453280227013847	0.000122071506680957	-4.51450871455264	1.17307035855761	-0.771352216890562	"LLGL1"	"LLGL1, scribble cell polarity complex component"
"33125_at"	0.0483413139805155	0.00013505379747141	4.47612152536143	1.08358462091282	0.38044453107201	"FANCL"	"Fanconi anemia complementation group L"
"38215_at"	0.0483413139805155	0.000143973569705646	-4.45182100996315	1.02694862564944	-0.334839035690843	"MPPED1"	"metallophosphoesterase domain containing 1"
"36364_at"	0.0483413139805155	0.000144963802748619	4.44921625956168	1.02087851341715	0.507302636315365	"ABAT"	"4-aminobutyrate aminotransferase"
"33556_at"	0.0483413139805155	0.000147374313928608	-4.44294884551206	1.00627348556274	-0.524136016501728	"FICD"	"FIC domain containing"
"1212_at"	0.0483413139805155	0.000149331583781394	4.4379344699534	0.994589014526999	0.559159507061784	"GSTZ1"	"glutathione S-transferase zeta 1"
"39906_r_at"	0.0507082845618991	0.000160659911483245	-4.41013794595075	0.92982800710253	-1.54090972779483	"ARFGAP3"	"ADP ribosylation factor GTPase activating protein 3"
"35160_at"	0.051714929569165	0.000170075634116191	-4.38847969209787	0.879381585258012	-1.02205141663761	"LDB1"	"LIM domain binding 1"
"35523_at"	0.051714929569165	0.00017204174589346	4.38410793491769	0.869200466627253	1.07225169001778	"HPGDS"	"hematopoietic prostaglandin D synthase"
"34146_at"	0.0542632006855259	0.000184817237978425	-4.35685622575503	0.805748720133241	-1.0314036229705	"OGG1"	"8-oxoguanine DNA glycosylase"
"31711_at"	0.0583455796227327	0.000203343010170316	-4.32049348638385	0.721122260775244	-1.03801460797471	"GRIN2D"	"glutamate ionotropic receptor NMDA type subunit 2D"
